timestamp,open,high,low,close,volume
2020-10-13,125.2700,125.3900,119.6500,121.1000,262330451
2020-10-12,120.0600,125.1800,119.2845,124.4000,240226769
2020-10-09,115.2800,117.0000,114.9200,116.9700,100506865
2020-10-08,116.2500,116.4000,114.5901,114.9700,83477153
2020-10-07,114.6200,115.5500,114.1300,115.0800,96848985
2020-10-06,115.7000,116.1200,112.2500,113.1600,161498212
2020-10-05,113.9100,116.6500,113.5500,116.5000,106243839
2020-10-02,112.8900,115.3700,112.2200,113.0200,144711986
2020-10-01,117.6400,117.7200,115.8300,116.7900,116120440
2020-09-30,113.7900,117.2600,113.6200,115.8100,142675184
2020-09-29,114.5500,115.3100,113.5700,114.0900,100060526
2020-09-28,115.0100,115.3200,112.7800,114.9600,137672403
2020-09-25,108.4300,112.4400,107.6700,112.2800,149981441
2020-09-24,105.1700,110.2500,105.0000,108.2200,167743349
2020-09-23,111.6200,112.1100,106.7700,107.1200,150718671
2020-09-22,112.6800,112.8600,109.1600,111.8100,183055373
2020-09-21,104.5400,110.1900,103.1000,110.0800,195713815
2020-09-18,110.4000,110.8800,106.0900,106.8400,287104882
2020-09-17,109.7200,112.2000,108.7100,110.3400,178010968
2020-09-16,115.2300,116.0000,112.0400,112.1300,155026675
2020-09-15,118.3300,118.8290,113.6100,115.5400,184642039
2020-09-14,114.7200,115.9300,112.8000,115.3550,140150087
2020-09-11,114.5700,115.2300,110.0000,112.0000,180860325
2020-09-10,120.3600,120.5000,112.5000,113.4900,182274391
2020-09-09,117.2600,119.1400,115.2600,117.3200,176940455
2020-09-08,113.9500,118.9900,112.6800,112.8200,231366563
2020-09-04,120.0700,123.7000,110.8900,120.9600,332607163
2020-09-03,126.9100,128.8400,120.5000,120.8800,257599640
2020-09-02,137.5900,137.9800,127.0000,131.4000,200118991
2020-09-01,132.7600,134.8000,130.5300,134.1800,152470142
2020-08-31,127.5800,131.0000,126.0000,129.0400,223505733
2020-08-28,504.0500,505.7700,498.3100,499.2300,46907479
2020-08-27,508.5700,509.9400,495.3300,500.0400,38888096
